Gender.Weights,Age Group.Weights,ADM1.Weights,Total Weights,Survey Date,Country,Gender,Age Group,Admin1,SEC,Age,BirthYear,Awareness,Urban/Rural,BiggestChallenge,LevelConcern,Concerns,RiskAwareness,Tested,VirusPrevention,PreventativeMeasures: Avoiding public places,PreventativeMeasures: Avoiding public transport,PreventativeMeasures: Increasing hygiene,PreventativeMeasures: Other,PreventativeMeasures: Working from home,HandWashing,SocialDistancing,HealthBehavior,EconomicImpact,MarketOperability,FoodLocations,FoodLocations2,FoodShopping,FoodAmount,Foodworry,BrandPurchase,NonEssentialItems,GovernmentTrust,CommercialTrust: Banks,CommercialTrust: Brands,CommercialTrust: Other,CommercialTrust: Retailers,CommercialTrust: Telecommuncations,InitiativeTaken: Limited store traffic,InitiativeTaken: None,InitiativeTaken: Sectioned intercepts,InitiativeTaken: Staff in protective gear,Groups: Brands,Groups: Governments,Groups: NGOs,Groups: Private Sector,Groups: Retailers,InformationSources: Friends/family,InformationSources: Government messages,InformationSources: Newspapers,InformationSources: Other,InformationSources: Radio,InformationSources: Social Media,InformationSources: TV,SocialMedia,MediaConsumption,StayPositive
0.9,1.1,1.0,1.04,04/02/2020,Kenya,Male,15-25,Machakos,B,20,1999,Yes,Rural area,Corona,5,Contracting the disease,Yes,No,Yes,FALSE,FALSE,FALSE,FALSE,TRUE,More than 5 times,No,Go to hospital,5,All are open,Yes,Online,Less often than usual,Smaller packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,Consuming more,Nothing
0.9,0.9,1.0,0.85,04/02/2020,Kenya,Male,26-35,Uasin Gishu,C1,28,1991,Yes,Urban area,High prices of goods,5,Local infections,No,No,Yes,TRUE,FALSE,TRUE,FALSE,FALSE,More than 5 times,No,Stay home,3,Most are open,No,N/A,Same as usual [no change],Bigger packsize than usual,No,N/A,Decreased,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Media outlets,Consuming more,Hope
1.0,1.0,0.8,0.80,04/02/2020,Nigeria,Male,15-25,Benue,A,20,1999,Yes,Urban area,Light,5,Contracting the disease,Yes,No,Yes,FALSE,FALSE,FALSE,FALSE,TRUE,More than 5 times,Yes,Go to hospital,4,Most are closed,No,N/A,Less often than usual,Bigger packsize than usual,No,N/A,Decreased,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Health organizations,Consuming more,Will go back to school soon
0.9,0.9,1.0,0.82,04/02/2020,Kenya,Male,26-35,Kisii,C1,32,1987,Yes,Rural area,The outbreak of covid-19,5,Contracting the disease,Yes,No,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,More than 5 times,No,Go to hospital,5,Most are closed,No,N/A,Less often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Health organizations,Consuming more,the covid 19 outbreak has not been confirmed in my county
0.9,1.1,1.0,0.98,04/02/2020,Kenya,Male,15-25,Nandi,B,25,1994,Yes,Rural area,no job and income due to corona pandemic,5,Economic impact,No,No,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,3-5 times,Yes,Go to hospital,5,Most are closed,Yes,Wholesalers,Less often than usual,Same as usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Media outlets,Consuming less,talking to peaple and watching movies  playing games also
1.1,0.9,1.0,0.94,04/02/2020,Kenya,Female,26-35,Busia,A,26,1993,Yes,Urban area,My biggest challenge today is finding employment,5,Economic impact,Yes,Yes - tested negative,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,More than 5 times,Yes,Not sure,5,All are open,No,N/A,More often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,Consuming more,"Family, friends"
0.9,1.1,1.0,1.00,04/02/2020,Kenya,Male,15-25,Kisii,C1,21,1998,Yes,Urban area,Food,4,Economic impact,Yes,Yes - tested negative,Yes,FALSE,FALSE,FALSE,FALSE,TRUE,More than 5 times,Yes,Go to hospital,5,Most are closed,Yes,Supermarkets,More often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Health organizations,No change,stay indoors
0.9,0.9,1.0,0.83,04/02/2020,Kenya,Male,26-35,Marsabit,E,32,1987,Yes,Rural area,"No electricity, murram road & no television",1,Global infections,Yes,No,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,More than 5 times,Yes,Go to hospital,1,Some are open,Yes,Wholesalers,Less often than usual,Smaller packsize than usual,No,N/A,Decreased,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N/A,Consuming less,Sesitatisation by the entire community
0.9,1.0,1.0,0.91,04/02/2020,Kenya,Male,36+,Homa Bay,C1,36,1983,Yes,Rural area,Covid 19 pandemic,5,Economic impact,Yes,Not sure,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,3-5 times,No,Go to hospital,4,Some are open,Yes,Supermarkets,Less often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,No change,believe in God
0.9,1.1,1.0,1.01,04/02/2020,Kenya,Male,15-25,Kisumu,C1,23,1996,Yes,Urban area,None,5,Other,No,No,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,More than 5 times,Yes,Go to hospital,1,Most are closed,Yes,Other,Same as usual [no change],Same as usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N/A,No change,Self Quarantine
